64;80;40;4;2;1;1;0;0.150423;0.156672
64;80;40;4;4;1;1;0;0.161826;0.163325
64;80;40;4;8;1;1;0;0.180458;0.182911
64;80;40;4;0;1;1;0;0.158268;0.159883
64;80;40;4;2;1;0;0;0.242888;0.245984
64;80;40;4;4;1;0;0;0.246515;0.257213
64;80;40;4;8;1;0;0;0.261974;0.262619
64;80;40;4;0;1;0;0;0.266834;0.266034
64;80;40;4;2;0;1;0;0.137777;0.129755
64;80;40;4;4;0;1;0;0.159983;0.159642
64;80;40;4;8;0;1;0;0.183959;0.183156
64;80;40;4;0;0;1;0;0.149110;0.159642
64;80;40;8;4;1;0;0;0.256642;0.256650
64;80;40;8;8;1;0;0;0.251695;0.251912
64;80;40;8;0;1;0;0;0.224468;0.223098
